,ad,terkibi,hazirlanmasi,img_url,label,yemek_id
290,Kələmli lobya şorbası," l ət bulyonu (adi suda da bişirmək olar), st. ağ xırda lobya,-litrlik bankada duzlu kələm q çili kolbasası iri yerkökü iri baş soğan - x.q. tomat pastası- diş sarımsaq bitki yağıduzistiotpaprikadəfnə yarpağışüyüd və cəfəri qurusu","Lobyanı 1 gecə isladın. Bulyonu ocağa qoyun. Qaynayanda lobyanı əlavə edin. Kələmin suyunu sıxın (atmayın), bitki yağında iti odda 10 dəqiqə  qovurun, sonra bankadakı mayeni, ədviyyatı, sarımsağı əlavə edin, qazanın qapağını  örtüb orta itilikli odda 30 dəqiqə bişirin. Arada qarışdırın. Soğanla yerkökünü ayrı tavada qovurub əlavə edin. Tomat pastasını yağda qovurun, kələm hazır olandan 5 dəqiqə əvvəl əlavə edin. Kələmi və doğranmış çili kolbasalarını lobyanın qaynadığı qazana əlavə edib daha 15 dəqiqə bişirin. Nuş olsun!",http://dadli.az/uploads/posts/2015-11/1447577283_dadli.jpg,Sulu yemek,237178
291,Toyuq bulyonu - FOTO RESEPT,  içi təmizlənmiş toyuq  baş soğan  kərəviz özəyi  kökbir neçə kəklikotu budağı noxud qara istiot  dəfnə yarpağı dəstə cəfəri,"1. İnqredientlər.2. Təqribi 8-10 sm ölçüdə sümüklər doğranılır.3. Sümüklər bir qazana yerləşdirilir və üzərinə soyuq su əlavə edilir.4.Daimi köpüklər yığışdırılaraq ət qaynadılır.5. Qaynadıqda qazın odu azaldılır və bulyona doğranmış kök, soğan, kərəviz özəyi və istiot əlavə edilir.6. Ardınca buket kimi bağlanmış kəklik otu, cəfəri və dəfnə yarpağı əlavə edilir.7. Qapağı bir qədər bağlanmış formada, az odda təqribi 3,5-4 saat bişirilir. Təqribən 4 saatdan sonra dolğun və ətirli bulyon hazır olur.8. Sonra bulyon süzgəcdən keçirilir.9. Bulyon şəffaf, dolğun və ətirli alınmalıdır. Hazırlama zamanı bulyona ona görə duz vurulmur ki, sonra bulyonu istifadə etdikdə, şorbaya nə qədər duz əlavə edilməsini biləsiniz.10. Bulyon xüsusi qaba yerləşdirilir.11. Və əgər bulyon hazır olandan sonra dərhal istifadə edilmirsə, onu soyuq suda soyudub, sonra soyuducunun dondurucu kamerasında saxlamaq lazımdır.Nuş olsun!",http://dadli.az/uploads/posts/2015-09/1443539133_dadli.jpg,Sulu yemek,294717
292,Arıqlamaq üçün möcüzəli yemək – kərəviz şorbası,"- Kərəviz sapı -  - Ağ kələm - , kq- Baş soğan -   (böyük olmayan)- Təzə və ya konservləşdirilmiş pomidor -   (orta ölçüdə)- Yaşıl şirin bibər -  - Duz, qara istiot.","Tərəvəzlər doğranılır, üzərinə 3 litr su tökülür, zövqə görə duz və biraz qara döyülmüş istiot əlavə edilir. Qazan oda qoyulur, qaynadılır və 10 dəqiqə bişirilir. Bundan sonra od daha zəif edilir və yavaş od üzərində bütün tərəvəzlər yumşalana qədər bişirilir.Beləliklə, kərəviz şorbası hazırdır.Nuş olsun!",http://dadli.az/uploads/posts/2015-11/1447927679_dadli.jpg,Sulu yemek,297578
293,Ləlil şorbası,"Hər payına:  q təzə, yaxud  q quru göbələk,  q baş soğan,  q bitki yağı,  q kişmiş,  q buğda unu,  q albuxara və tam üçün duz götürülür.","Az duzlu suda göbələk yuyulub 2-3 saat müddətində soyuq suda isladılır. Bulyonda yaxud suda bişirilir. Sonra bunun içinə yağda qızardılmış soğan, un, kişmiş və albuxara qatılır, duz vurulur.Nuş olsun!",http://dadli.az/uploads/posts/2015-06/1435397555_qadinlar.jpg,Sulu yemek,719378
294,Xaş,Malın ön ayaq dırnaqlarıMal quyruğu (istəyə görə)DuzDəfnə yarpağıİstiot (əzilməmiş)SarımsaqNarşərabTurşuGöyərti ,"Xaş hazırlamaq üçün malın ayaq dırnaqları təmizlənir. Bunun üçün dırnaqlar tüklərinin  təmizlənməsi üçün oda tutulur və tüklər ütülür.Bundan sonra bıçaq vasitəsi ilə qaşınaraq artıq qalıntılar təmizlənir. Tükü ütülüb təmizlənmiş dırnaqlar bol su ilə yuyulur.İstənməyən iylərdən qurtarmaq üçün: Bundan sonra minalı qazan götürülür, təmizlənən mal dırnaqları bu qazana qoyulur, üzərinə bol su əlavə edilir. Bu qazanda dırnaqlar bir gün gözlədilir. Soyuq bir yerdə gözlətmək məsləhət görülür. Suyu vaxtaşırı təmizləmək lazımdır. Su dəyişdikcə həm də dırnaqlarda ütmə əsnasında meydana gələn iy də çəkilmiş olar.Yumaq üçün axar sudan bol istifadə etmək lazımdır.İstənməyən iylərdən qurtarmaq üçün başqa vasitəDırnaqlarda və quyruqda olan  istənməyən qurtarmanın ikinci ve tez başa gələn üsulu olaraq, təmiz dırnaqları və quyruq parçalarını  biraz  duzsuz suda qaynatmaq olar. Bu zaman suyun üzərində kəf olarsa, onu da təmizləyib atmaq lazımdır.Bundan sonra dırnaqları sürətli bir şəkildə soyuması üçün soyuq suya salırıq. Dırnaqlar soyuduqdan sonra doğramağa başlayırıq. Xaş bişirmək üçün mal dırnaqlarını doğrayarkən baltadan istifadə etməməyə çalışmaq lazımdır. çünki bu zaman həm sümük qırıqları ətə qarışır, həm də ilik dağılır.Bunun üçün mümkündürsə sümük kəsmək üçün olan mişardan istifadə etmək lazımdır. Mişarla sümüklər doğranır, Oynaqlar isə bıçaq vasitəsi ilə ayrılır.Doğranan mal dırnaqları və quyruq parçaları, xaş bişiriləcək qazana qoyulur. Sonra dırnaqların üzərinə su əlavə edilir. Su dırnaqların üzərinə təqribən 1-20 sm çıxmalıdır. Bundan sonra xaş vam odda qaynadılmağa başlayır.Xörək qaydadıqca, suyun üzərinə toplanan kəf yığılmalıdır.Bəzən xaşın içərisinə doğranmamış baş soğan əlavə edilir. Bu zaman kəf daha yaxşı toplanır. Xaş suyunun daha şəffaf olması üçün isə bəzən suya kök əlavə edilir.Ancaq xaş biraz bişdikdən sonra kök və soğanı çıxartmaq lazımdır. Çünki əzilib yeməyə qarışır.Xaş təqribən ən az 5-6 saat qaynamalıdır.Xaş bişənə yaxın içərisinə duz, əzilməmiş istiot, dəfnə yarpağı vurulur.Bişmiş xaşda, ət sümükdən tamamən ayrılmalıdır.Bu zaman əmələ gələn bulyon qızılı rəngdə və yağlı olur.Xaşın yanında süfrəyə sirkə, sarımsaq, narşərab, turşu, göyərti verilir.Nuş olsun!",http://dadli.az/uploads/posts/2015-11/1447089923_dadli.jpg,Sulu yemek,290289
295,Çox ləzzətli qarox şorbası,"  qoyun və ya mal əti x/q quru qarox pomidor və ya x/q tomat baş soğan alma  albuxara x/q ərinmiş yağ s/t suduz, istiot və zövqə görə darçın","5 st suda Ət qaynadılır, duz vurulur. sonra yağda qızardılır və üzərinə çox xırda doğranmış soğan əlavə edilərək qovrulur.qovrulmuş soğanlı ətin üzərinə pomidor və ya tomat vurulur. biraz tovlanandan sonra kubik şəklində doğranmış almalar əlavə edilir.sonra ətin suyunda qarox pişirilir, albuxara əlavə olunur. qovurduğumuz ətli qarışımı qaroxlu şorbaya əlavə edirik 15dq pişiririk, zövqə görə ədviyatlar vurulur.Nuş olsun!",http://dadli.az/uploads/posts/2015-11/1446413607_dadli.jpg,Sulu yemek,211859
296,Lobya şorbası, stəkan qaynadılmış quru lobya  qırmızı bibər  sarı bibər stəkan su  soğan am yağ  pomidor tomatı  bibər tomatınanəduz,"Rəngli bibərləri təmizləyib, nazik-nazik doğrayın. Soğanı doğrayıb, yağda qızardın. Üzərinə su, pomidor və bibər tomatlarını əlavə edib, yaxşıca qarışdırın. Sonra əvvəlcədən qaynadılmış quru lobya və rəngli bibərləri əlavə edib, üzərinə bir az duz səpin. Sonra qazanın qapağını örtüb, qaynadın. Qaynadıqdan sonra sobanın dərəcəsini azaldıb, qazanın qapağı yarı açıq vəziyyətdə 20 dəqiqə müddətində bişirin.Kasalara töküb üzərinə nanə səpin. İsti şəkildə süfrəyə verin.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1446326376_dadli.jpg,Sulu yemek,311252
297,Toyuq şorbası - FOTO RESEPT,- tikə toyuq ətiyarım stəkan düyü  soğan  kartofkərə yağı  kök (zövqə görə)duzsarıkökkeşnişşüyüd  alça qurusu,"1. Toyuq hissələrə bölünür, yuyulur və qazana su tökülüb 20 dəqiqı qaynadılır (qaynayan zaman köpüyü yığılmalıdır).2. Toyuq bişdikdən sonra suyu süzgəcdən keçirilir, tikələri ayrı qaba qoyulur.3. Soğan xırda doğranılır, təmiz qazana yağ tökülüb qızardılır.4. Soğan qızardıqdan sonra üzərinə toyuğun suyu və tikələri əlavə edilir.5. Kök və kartof təmizlənir. Kök xırda kub şəklində, kartof nisbətən böyük kub şəklində doğranılır və qazana əlavə edilir.6. Düyü yaxşı yuyulur və qazana tökülür. Qaşıqla yemək qarışdırılıb duz və alça qurusu vurulur.7. Şorbanın düyüsü, kartofu bişdikdə qazdan götürülür və üzərinə doğranmış keşniş, şüyüd əlavə edilir.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444060806_dadli.jpg,Sulu yemek,242506
298,Ordubad üsulu maş şorbası," stəkan (g) quru maş lobya, gecədən soyuq suya qoyulmuş  (ml) ərinmiş kərə yağıg doğranmış sümüksüz qoyun və ya mal əti (sümüklü ətdən də istifadə edə bilərsiniz)  doğranmış orta boy baş soğan  tomat stəkan suzövqə görə duzzövqə görə istiot   və ya  yerə bölünmüş orta boy karfof quru gavalı  quru nanə","1. Maş lobyanı süzün və su doldurulmuş qazanda 15 dəqiqə ərzində qaynadın. Bu proses quru maşın tünd rənginin çıxması üçün edilir.  Maşı süzün və yuyun. Kənara qoyun.2. Qazanda yağı qızdırın. Əti qazana əlavə edib yağda təxminən 15 dəqiqə qızardın. Arada qarışdırın.3. Soğanı da qazana əlavə edib 5 dəqiqə və yaxud soğan yumuşalana qədər bişirin.4. Tomatı əlavə edib 1 dəqiqə taxta qaşıqla qarışdıra-qarışdıra bişirin. Zövqə görə duz, istiot vurun. Süzdüyünüz maş lobyanı əlavə edib üstünə 8 stəkan su töküb, qaynadın.5. Qaynayanda, odun altını azaldın. Qazanın qapağını örtün. Şorbanı vam odda təxminən 1 saat 15 dəqiqə ərzində və yaxud ət və maş lobya bişənə qədər  bişirin.6. Kartof, quru gavalı, və quru nanəni də əlavə edib, kartof bişənə qədər bişirin. Bu şorba nə çox sulu, nə də çox qatı olmalıdır.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444758200_dadli.jpg,Sulu yemek,350493
299,Kənd çolpasından şorba - FOTO RESEPT,- tikə kənd çolpası  yumru düyü  kiçik kartof  soğan  kərər yağıkeşnişşüyüdsarıkökduz,"1. İnqridientlər hazırlanır.2. Çolpa hissələri yuyulur, üzərinə su əlavə olunur.3. Qazan qaza qoyulur. Çolpanın bişməyinə az qalmış qazdan götürülür. 4. Qazanın suyu qızdıqca suyun üzərinə ətin köpüyü yığılacaq. Köpük qaşıqla yığılıb atılır. 5. Çolpa bişənə kimi soğan xırda kub şəklində doğranılır.6. Yemək bişirilən qazana yağ və doğranılmış soğan əlavə olunur, soğanın rəngi dəyişənə kimi qızardılır.7. Soğanın rəngi qızılı-sarı olduqda çolpa hissələri və suyu qazana əlavə olunur. 8. Kartof kub şəklində doğranılır yeməyə əlavə olunur.9. Şorba qaynadıqda düyü yuyulub yeməyə əlavə olunur.10. Zövqə görə duz əlavə olunur.11. Şorbanın daha da ətirli və rənginin gözəl olması üçün az miqdarda sarıkök əlavə olunur.12. Keşniş, şüyüd xırda doğranılır.13. Şorbanın düyüsü, kartofu bişdikdə qazdan götürülür. Süfrəyə verilərkən üzərinə doğranılmış göyərti səpilir.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444057911_dadli.jpg,Sulu yemek,569267
300,Qovurma bozbaş,"Qoyun əti –  q,quyruq –  q,baş soğan –  q,kartof –  q,şabalıd –  q,təzə alça –  q,və ya quru alça -  q,keşniş –  q,zəfəran - , q,istiot,duz.","Qoyun əti 30-35 q çəkidə doğranır, duz, istiot və baş soğanla yağda qızardılır. Bulyon əlavə edilib bişirilir. Hazır olana 30 dəqiqə qalmış kartof, təmizlənmiş şabalıd, alça qatılıb bişirilir. Süfrəyə verdikdə zəfəran şirəsi və göyərti əlavə edilir. Yay vaxtı zəfəran və alça əvəzinə 50 q qırmızı pomidor götürülür.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1446155226_dadli.jpg,Sulu yemek,750676
301,Kənd şorbası, Çay stəkanı yaşıl mərcimək Su stəkanı əriştə Ədəd soğan Yemək qaşığı tamat  marqarin Su ​​stəkanı su Yemək qaşığı quru nanəduzkırmızıbiber,"Ön hazırlıq olaraq yaşıl mərciməyin yuyub, 2 saat suda gözlədin. Daha sonra qaynadıb suyunu süzün. Geniş bir qazanda marqarini əridin. İcinə kiçik kiçik doğranmış tomati atıb qızardınç suyu və əvvəlcədən hazırladığıməz mərciməyi əlavə edin Supu 5 dəqiqə qədər kaynatdıqdan sonra erişteyi və duzu qoyun. Əriçdələr yumuşalana kimi bişirin və sonra ocaqdan götütürünş Üzərinə quru nanəni və Qırmızı də əlavə edərək xidmət edin.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1445457361_dadli.jpg,Sulu yemek,746695
302,Düşbərə,sümüklü ətçəkilmiş ətsoğannanə qurusuduz istiotkeşnişXəmiri üçün:unsuyumurtaduz,"Düşbərə üçün sümüklü ətdən bulyon bişirilir. Çəkilmiş ətə baş soğan, keşniş, duz , istiot vurulur. Un, su və yumurtadan bərk xəmir yoğrulub, 1 mm- ə qədər qalınlıqda yayılır. Həmin xəmir 3 x 3 sm ölçüdə kvadrat şəklində kəsilir. Hər kvadratın ortasına ət qoyulub, bükülür. Düşbərə 2 üsulla bükülə bilər: 1) kvadrat ortadan qatlanıb, ucları geriyə dartılır 2) kvadrat üçkünc şəklində qatlanıb, küncləri geriyə dartılır. Hazırlanmış düşbərə yüngülcəsinə ələkdə silkələnib, artıq undan azad edilir və süzülmüş bulyonda bişirilir. Düşbərənin bişmə vaxtı 5 dəqiqədir. Hazır olduqda düşbərə- adətən üzə çıxır və üzərinə nanə qurusu səpilir. Süfrəyə verilən zaman düşbərənin yanında sarımsaqlı sirkə qoyula bilər.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1445367103_dadli.jpg,Sulu yemek,712805
303,Qırmızı mərci şorbası," stəkan  qırmızı mərci  orta boy soğan – xırda-xırda doğrayın  orta boy yerkökü  – xırda-xırda doğrayın  orta boy kartof – xırda-xırda doğrayın  tomat (tomat pastası) stəkan suzövqə görə duzzövgə görə istiot (şorbanın acı olmasını istəyirsinizsə, bir az acı qırmızı pul bibər əlavə edin)- qaşıq yağÜstü üçün (bu zəruri deyil və şorbanın süfrəyə verəndə gözəl görünməsi üçün edilir –  şəkildəki kimi) x. qaşığı kərə yağı və yaxud zeytun yağı/  qırmızı şirin bibər tozu (paprika)Süfrəyə vermək üçün:limonçörək","Variant 1:Mərci, soğan, kartof, yerkökü və suyu bir qazana qoyub qaynadın. Orta  odda üstünü örtmədən təxminən 20-25 dəqiqə ərzində bişirin. Bu müddət ərzində şorbanın üzünə kəf çıxarsa, kəfi yığın. Tez-tez qarışdırın ki, dibi yanmasın. Ərzaqlar yumuşalanda, blenderdən keçirin ki, püre halına gəlsin. Duz və istiot vurun. Şorbanızın daha ləzzətli olması üçün yağ əlavə edib qarışdırın. Dİyetik şorba istəyirsinizsə, onda yağa gərək yoxdur.Şorbanı qablara tökün. Üstünü bəzəmək istəyirsinizsə, balaca tavada yağı qızdırın. Qızan kimi, şirin bibər tozunu yağa əlavə edin (fışıldamalıdır). Sonra isə bu sousdan bir az qabdakı şorbalara  tökün.Şorbanın üstünə limon sıxıb, çörəklə yeyin.Variant 2:Mərci, kartof, yerkökü və suyu bir qazana qoyub qaynadın. Bu vaxt soğanı yağda bir az qızardın. Üstünə tomatı əlavə edib, qarışdıra-qarışdıra bişirin. Sonra bu qarışığı mərci olan qazana tökün. Qoyun hamısı bir yerdə yumuşalanadək bişsin. Bu müddət ərzində şorbanın üzünə kəf çıxarsa, kəfi yığın. Tez-tez qarışdırın ki, dibi yanmasın. Ərzaqlar yumuşalanda, blenderdən keçirin ki, püre halına gəlsin. Duz və istiot vurun.Şorbanı qablara tökün. Üstünü bəzəmək istəyirsinizsə, balaca tavada yağı qızdırın. Qızan kimi, şirin bibər tozu əlavə edin (fışıldamalıdır). Sonra isə bu sousdan hər qaba bir az tökün. Şorbanın üstünə limon sıxıb, çörəklə yeyin.QEYD 1: Bu şorba qaldıqca qatılaşır. Üstünə su əlavə edib qarışdırın.QEYD 2: Əgər blenderiniz yoxdursa, onda ərzaqları ya kartof əzənlə əzin, ya da heç əzməyin. Belə halda kartof və yerkökünü sürtkəcin iri dişlərindən keçirin ki, bişəndə ərisinlər.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1445007164_dadli.jpg,Sulu yemek,672763
304,Nanəli mərci şorbası,  qırmızı mərci pomidor – iri-iri doğrayın yerkökü  – iri-iri doğrayın  tomat pastası dolu  quru nanə (istəyə görə artırıb yaxud azaltmaq olar)-  kərə yağı (istəyə görə artırıb yaxud azaltmaq olar)Duz-istiot,"Mərcini yaxşıca yuyub, süzünü süzüb qazana qoyun. Üstünə 4-5 stəkan su töküb qaynadın.Qaynayan mərcinin kəfini yığın. Mərci yarım-bişmiş olduğunda qazana doğranmış pomidor,  yerkökü, tomat pastası və quru nanəni əlavə edin. Orta hərarətdə bişirməyə davam edin. Mərci tam yumşalanda, kütləni blenderdə püre halına gətirin. Yenidən qazana tökün. Zövqə görə duz və istiot vurun. Şorba qatıdırsa, bir az da su əlavə edib, qaynadın.Tavada kərə yağını qızdırıb bişmiş şorbaya töküb, qarışdırın. Şorba hazırdır. Süfrəyə verdiyinizdə, hər boşqaba istəyə görə qırmızı acı bibər tozu səpə bilərsiniz. Şorbaya limon sıxıb yeyin.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444493125_dadli.jpg,Sulu yemek,579670
305,Borş, kq iri tikələrə bölünmüş sümüklü mal əti  kərə yağı və ya duru yağ baş soğan  orta boy çuğundur ( g)  yerkökü ( g)  tomat- dəfnə yarpağı (rusca: lavroviy list)  orda boy kələm ( g) ədər kartof stəkan xırda-xırda doğranmış cəfərizövgə görə duzzövgə görə istiot,"1. İri qazana mal ətini qoyub, üstünə təxminən 20 stəkan su töküb qaynadın. Tez-tez kəfini alın. Ət yumuşalanadək orta odda bişirin (ətin sərtliyindən asılı olaraq, ət 40 dəqiqəyə qədər bişə bilər). Ətin suyunu süzün ki, kəfdən təmizlənsin.  Ət suyunu və əti qazana geri qoyun.2. Ətin  bişdiyi müddət ərzində digər ərzaqları hazırlayın. Soğanı xırda-xırda doğrayın. Çuğundur və yerkökünü sürtkəcin iri dişindən keçirin. Kələmi nazik-nazik doğrayın (təxminən 4 stəkan alınmalıdır). Kartofları soyun və iri-iri dilimləyin.3. Tavada yağı qızdırın və soğanı bu yağda yumuşalanadək bişirin. Çuğundur və yerkökünü soğana əlavə edib, bərabər təxminən 10 dəqiqə ərzində, tərəvəzlər bir qədər yumuşalanadək bişirin. Sonra tomat, zövgə görə duz, istiot əlavə edib, təxminən 5 dəqiqə də bişirin.4. Bişən tərəvəzləri və dəfnə yarpağını ət suyu olan qazana əlavə edin. QEYD: Ət bişdiyi müddətcə suyun bir qismi buxarlanacaq, odur ki, əldə etdiyiniz ət suyu azdırsa, qazana bir az su əlavə edin. Qazanda təxminən 12 stəkan maye olmalıdır). Qazanı qaynadın, sonra içinə kələm, kartof və cəfərini əlavə edib, orta odda təxminən 25 dəqiqə ərzində, və yaxud kələm və kartof yumuşalanadək bişirin.5. Hazır borşu nimçələrə töküb süfrəyə verin. Borşun üstünə zövgə görə qatıq tökülüb yeyilir.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444758229_dadli.jpg,Sulu yemek,313169
306,Qarışıq şorba, Çay fincanı düyü Ədəd limon suyu Su stəkanı un Çömçə qatıq Ədəd kartof Yemək qaşığı nanə Çay qaşığı duz Ədəd yumurta Yemək qaşığı marqarin Su stəkanı sümük suyu və ya su,"Sümük suyunu və ya suyu qaynadın. Yuyulmuş düyünü əlavə edib bişirin. Un, limon suyu, qatıq və yumurtanın sarısını az miqdarda su əlavə edərək çırpın Qaynamaqda olan suya yavaş-yavaş əlavə edərək davamlı qarışdırın. Konsistensiyası özünə gələnə kimi bişirin. Əridilmiş 2 yemək qaşığı marqarini nanələ qızardıb, supun üzərinə səpin. kiçik küplər halında doğranmış kartofları duruyağda qızardıb süzün və supa əlavə edin. Duz əlavə edib ocaqdan alın.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1445457311_dadli.jpg,Sulu yemek,591100
307,Ezogəlin şorbası,  qırmızı mərcimək   düyü  yarma  incə qısa vermişel soğan  tomat  kərə yağı yarım  qırmızı pul bibər  quru nanə- stəkan qaynanmış su   duru yağ duz,"İlk öncə düyü, yarma, mərciməyi yuyun və suyunun tam süzülməsi üçün bir kənara qoyun. Soğanı incə doğrayın, kərə yağını içinə bir az da duru yağ qataraq əridin. Soğanları içinə atın və diriliyi gedənə qədər qarışdırın.Daha sonra üzərinə un əlavə edin. Bir az qarışdırın. Arxasınca içərisinə tomat və quru nanə, pul bibər qatın və qovurmağa davam edin. Bunun içinə yuyub süzdüyünüz düyünü, mərciməyi və yarmanı atın, bir-iki əl qarışdırın. Sonra şorbanın suyunu qoyun (Suyu gözəyarı qərarlaşdırın). Şorba qaynamağa başlayınca incə vermişeli əlavə edin. Bir az daha qaynadın və duzunu atıb ocağın altını qısaraq yavaş-yavaş 15 dəqiqə daha bişirin. Son olaraq duzunu atın və şorbanız servisə hazırdır.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1445457307_dadli.jpg,Sulu yemek,622201
308,Bağ şorbası,"  zeytun yağı  diş sarımsaq  – xırda-xırda doğrayın   qırmızı baş soğan – xırda-xırda doğrayın   yerkökü –  xırda-xırda doğrayın kərəviz sapı –  xırda-xırda doğrayın  kabaçok –  xırda-xırda doğrayın  balaca pırasa –   yuyun və  xırda-xırda doğrayınYarım  quru oreqano otu (və ya mərzə) – zəruri deyil  dəfnə yarpağı  -amlıq konservləşmiş doğranmış pomidoş (banka deyil, konservdəkindən)  orta boy kartof – kubiklər şəklində kəsin stəkan gülkələmin “gülləri”  -amlır konservləşmiş ağ lobya – süzün (konser yoxrursa, qurusundan bişirin) stəkan tərəvəz suyu (adi suyla da əvəz etmək olar)Bir ovuc qıvırcıq (kahıya bənzər acımtraq sıx yarpaqlı tərəvəz), yalnız yaşıl hissəsi – doğrayın ( stəkan alınmalıdır)Yarım stəkan əllə qırılmış spagetti makaronuBir kiçik dəstə ağ reyhan (zəruri deyil)Duz və istiot   rəndələnmiş Parmezan pendiri","Iri qazanda zeytun yağını orta odda qızdırın. Sarımsaq, soğan, yerkökü, kərəviz, kabaçok, pırasa, oreqano və dəfnə yarpağını əlavə edin.  Arada qarışdıra-qarışdıra təxminən 15 dəqiqə, və yaxud tərəvəzlər yumuşalanadək bişirin.Pomidor, kartof, gülkələm, lobya və tərəvəz suyu (və yaxud adi su) əlavə edin. Qazanın qapağını bağlayın və qaynadın. 30 dəqiqə də, yaxud kartof yumuşalanadək bişirin.Qazana 2 stəkan adi su əlavə edin və qaynadın. Qaynayan kimi, qıvırcıq və spagetti  makaronunu əlavə edib, 10 dəqiqə də bişirin. Makaron bilməlidir. Əgər şorba qatıdırsa, bir az su əlavə edin.İstəyə görə şorbaya əlinizlə xırdalanmış ağ rehyan elavə edib, qarışdırmaq olar. Düz və istiot vurun. Şorbanı qablara tökün. Ayrı qabra süfrəyə Parmezan pendiri verin. Hər kəs zövgə görə öz şorbasına pendirdən səpə bilər.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444574318_dadli.jpg,Sulu yemek,814723
309,Küftə-bozbaş,"Yarım kilo mal və ya qoyun əti ya da onların qarışığı (mən % yağsız\% yağlı orqanik mal ətindən istifadə edirəm) orta ölçülü soğan -ət maşınından keçirilmiş yumurta/ stəkan yumru düyü  xırdalanmış nanə qurusu (məcburi deyil, amma məsləhətdir)  xırdalanmış quru mərzə (məcburi deyil, amma  məsləhətdir)  xırdalanmış quru ağ reyhan (məcburi deyil, amma məsləhətdir)  duz/   istiot kiçik  alça qurusuBulyonun Ərzaqları:   ərinmiş yağ  tomat pastası qabığı soyulmuş bütöv kartof/  sarıkökDuz-istiot","Islağa qoyulmuş noxudu yarım-bişənədək suda qaynadın ( daha sonra yenə de bişiriləcək).Küftəni hazırlamaq üçün ətin bütün ərzaqlarını (alça qurusundan başqa) iri bir qabda əllərinizlə yaxşıca qarışdırın. Qarışıqdan 4 iri küftə düzəldin (daha çox nəfəri qonaq etmək istədiyiniz halda küftələri bir az balaca edə bilərsinizş Məsələn, 4 əvəzinə 8 küftə etmək olar). Hər küftənin ortasına bir ədəd alça qurusu yerləşdirin.Bulyonu  hazırlayın. Orta ölçülü qazanda (kifayət qədər iri olmalıdır ki, küftələr bir birinə dəyməsin) yağı orta istilikdə qızdırın, daha sonra tamat pastasını əlavə edin və yarım dəqiqə qarışdırın. Sonra 7 stəkan su əlavə edib qaynara düşənədək gözləyin.Istiliyi bir az azaldın (orta həddə qədər) və küftələri bir-bir bulyona salın. Qazanın üstünü açıq saxlayıb 10 dəqiqə küftələrə toxunmadan (küftələr dağılmasın deyə) bişirin. Bulyonun üzərində kəf əmələ gəlsə onu yığın.Kartofu, sarıkökü və noxudu əlavə edin. Zövqə görə duz-istiot vurun. Qaynara düşəndən sonra istiliyi azaldın,  qazanın qapağını örtün və hardasa 40 dəqiqə bişirin.Çömçə ilə  kasalara hərəsində bir küftə, bir kartof və bir qədər noxud və bulyon olmaqla tökün. İstəyə görə üzərinə nanə qurusu səpmək olar.Nuş olsun!",http://dadli.az/uploads/posts/2015-10/1444574222_dadli.jpg,Sulu yemek,449356
310,Perlova şorbası - FOTO RESEPT, stəkan perlova  soğan  kartof  kərə yağıtomat pastasısarıkökduz,"1. Perlova yuyulur, üzərinı su tökülür bişənə kimi qaynadılır.2. Soğan xırda kub şəklində doğranılır tavada qızardılır. Qızarana yaxın üzərinə tomat pastası, sarıkök əlavə olunur 3 dəqiqə biryərdə qızardılır.3. Qızarmış soğan perlovaya əlavə olunur. 4. Kartofun qabığı təmizlənir, yuyulur, kiçik kub şəklində doğranılır və şorbaya əlavə edilir.5. Şorbaya duz vurulur, kartofu bişdikdə qazdan götürülür.Nuş olsun!",http://dadli.az/uploads/posts/2015-09/1442395659_dadli.jpg,Sulu yemek,789504
